# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
# Sample Temperature: 2.4395808696746837
#   Initial Sweeps: 100
#            Width: 4
#        Generator: Xorshift
#    Sweep Pattern: RandomSweep
# Total Sweep Time: 1.3821486870000002
# Total Histogram Time: 0.00829873
#   Temperature        E (10)        C (10)       E (100)       C (100)      E (1000)      C (1000)     E (10000)     C (10000)    E (100000)    C (100000)   E (1000000)   C (1000000)
           1.35    -1.9889968   0.025052721    -1.9728997    0.06708852    -1.9736518   0.062706934    -1.9738018   0.063463894    -1.9740604   0.062605116     -1.974547   0.061348851
           1.36    -1.9884874   0.025898996    -1.9715325   0.069641386    -1.9723757   0.064913246    -1.9725094    0.06578753    -1.9727856   0.064876069    -1.9732979   0.063569852
           1.37    -1.9879607   0.026765822    -1.9701136   0.072258371     -1.971055   0.067165969    -1.9711699   0.068165767     -1.971465   0.067198955    -1.9720039   0.065841582
           1.38    -1.9874166   0.027653817    -1.9686417   0.074940117    -1.9696887   0.069465354    -1.9697824   0.070599137    -1.9700973   0.069574226    -1.9706639   0.068164502
           1.39    -1.9868544   0.028563625    -1.9671155   0.077687236     -1.968276   0.071811638    -1.9683456    0.07308816    -1.9686816    0.07200232     -1.969277   0.070539058
            1.4    -1.9862739   0.029495916    -1.9655338   0.080500306     -1.966816    0.07420505    -1.9668585   0.075633337    -1.9672169   0.074483661     -1.967842   0.072965687
           1.41    -1.9856745   0.030451384    -1.9638951   0.083379867    -1.9653075   0.076645803    -1.9653199   0.078235149    -1.9657019   0.077018655     -1.966358    0.07544481
           1.42    -1.9850557    0.03143075    -1.9621981   0.086326422    -1.9637498   0.079134093    -1.9637287   0.080894057    -1.9641358   0.079607689    -1.9648239   0.077976831
           1.43    -1.9844171   0.032434757    -1.9604416   0.089340427    -1.9621418   0.081670103    -1.9620837   0.083610492    -1.9625173   0.082251128    -1.9632386   0.080562136
           1.44    -1.9837581   0.033464169    -1.9586241   0.092422291    -1.9604827   0.084253994    -1.9603839   0.086384863    -1.9608454   0.084949313     -1.961601    0.08320109
           1.45    -1.9830783   0.034519775    -1.9567442   0.095572371    -1.9587714   0.086885911    -1.9586279   0.089217544    -1.9591189   0.087702558    -1.9599102   0.085894034
           1.46    -1.9823771   0.035602381    -1.9548007   0.098790969    -1.9570069   0.089565973    -1.9568148   0.092108876    -1.9573369   0.090511149    -1.9581649   0.088641284
           1.47     -1.981654   0.036712813    -1.9527921    0.10207833    -1.9551884   0.092294277    -1.9549432   0.095059165    -1.9554981   0.093375338    -1.9563642   0.091443128
           1.48    -1.9809084   0.037851914    -1.9507171    0.10543462    -1.9533148   0.095070894     -1.953012   0.098068673    -1.9536015   0.096295344    -1.9545068   0.094299821
           1.49    -1.9801398   0.039020541    -1.9485743    0.10885996    -1.9513852   0.097895866    -1.9510201    0.10113762    -1.9516459   0.099271345    -1.9525918   0.097211584
            1.5    -1.9793474   0.040219566    -1.9463623    0.11235437    -1.9493987    0.10076921    -1.9489661    0.10426618    -1.9496303    0.10230348     -1.950618     0.1001786
           1.51    -1.9785308   0.041449873    -1.9440797    0.11591783    -1.9473542     0.1036909     -1.946849    0.10745447    -1.9475534    0.10539185    -1.9485843    0.10320102
           1.52    -1.9776892   0.042712354    -1.9417251     0.1195502    -1.9452507    0.10666088    -1.9446675    0.11070256    -1.9454142    0.10853649    -1.9464896    0.10627894
           1.53    -1.9768221   0.044007909    -1.9392972    0.12325128    -1.9430874    0.10967905    -1.9424205    0.11401045    -1.9432116     0.1117374    -1.9443328    0.10941241
           1.54    -1.9759287   0.045337444    -1.9367946    0.12702075    -1.9408632     0.1127453    -1.9401067     0.1173781    -1.9409444    0.11499452    -1.9421127    0.11260144
           1.55    -1.9750083   0.046701866    -1.9342159    0.13085823    -1.9385773    0.11585944     -1.937725    0.12080537    -1.9386114    0.11830773    -1.9398283    0.11584598
           1.56    -1.9740603   0.048102085    -1.9315598    0.13476322    -1.9362285    0.11902124    -1.9352741    0.12429209    -1.9362117    0.12167687    -1.9374785    0.11914591
           1.57     -1.973084   0.049539006    -1.9288249    0.13873511    -1.9338161    0.12223045    -1.9327529    0.12783796     -1.933744    0.12510167    -1.9350621    0.12250109
           1.58    -1.9720785    0.05101353      -1.92601     0.1427732     -1.931339    0.12548674    -1.9301602    0.13144267    -1.9312072    0.12858183    -1.9325781    0.12591126
           1.59    -1.9710432    0.05252655    -1.9231136    0.14687664    -1.9287963    0.12878974    -1.9274948    0.13510577    -1.9286003    0.13211696    -1.9300253    0.12937614
            1.6    -1.9699772   0.054078951    -1.9201345    0.15104451    -1.9261871    0.13213903    -1.9247556    0.13882675    -1.9259222    0.13570661    -1.9274027    0.13289535
           1.61    -1.9688798     0.0556716    -1.9170714    0.15527574    -1.9235105    0.13553411    -1.9219414    0.14260502    -1.9231717    0.13935023    -1.9247091    0.13646845
           1.62    -1.9677501   0.057305351     -1.913923    0.15956914    -1.9207654    0.13897443     -1.919051    0.14643986    -1.9203478     0.1430472    -1.9219436    0.14009491
           1.63    -1.9665873   0.058981037    -1.9106882    0.16392338    -1.9179512     0.1424594    -1.9160834    0.15033049    -1.9174495    0.14679681     -1.919105    0.14377414
           1.64    -1.9653905   0.060699469    -1.9073657    0.16833702    -1.9150668    0.14598832    -1.9130374    0.15427602    -1.9144756    0.15059826    -1.9161923    0.14750545
           1.65     -1.964159    0.06246143    -1.9039543    0.17280847    -1.9121114    0.14956045     -1.909912    0.15827544    -1.9114252    0.15445065    -1.9132044    0.15128805
           1.66    -1.9628918   0.064267678     -1.900453      0.177336    -1.9090841    0.15317498     -1.906706    0.16232765    -1.9082973    0.15835302    -1.9101404    0.15512108
           1.67     -1.961588   0.066118934    -1.8968605    0.18191774    -1.9059841    0.15683101    -1.9034185    0.16643142    -1.9050908    0.16230426    -1.9069993    0.15900357
           1.68    -1.9602467   0.068015886    -1.8931759     0.1865517    -1.9028106    0.16052758    -1.9000485    0.17058544    -1.9018048    0.16630319    -1.9037799    0.16293448
           1.69    -1.9588671   0.069959183    -1.8893981     0.1912357    -1.8995627    0.16426364    -1.8965948    0.17478826    -1.8984383    0.17034853    -1.9004816    0.16691264
            1.7    -1.9574481   0.071949431    -1.8855262    0.19596747    -1.8962398    0.16803806    -1.8930566    0.17903831    -1.8949905    0.17443887    -1.8971031    0.17093679
           1.71    -1.9559888    0.07398719    -1.8815591    0.20074454    -1.8928409    0.17184965     -1.889433    0.18333392    -1.8914605    0.17857272    -1.8936438    0.17500557
           1.72    -1.9544882   0.076072972    -1.8774961    0.20556432    -1.8893655    0.17569712     -1.885723    0.18767328    -1.8878473    0.18274846    -1.8901026    0.17911751
           1.73    -1.9529455   0.078207235    -1.8733363    0.21042409    -1.8858128    0.17957909    -1.8819258    0.19205447    -1.8841503    0.18696437    -1.8864788    0.18327103
           1.74    -1.9513596   0.080390384    -1.8690789    0.21532095    -1.8821822     0.1834941    -1.8780405    0.19647544    -1.8803685    0.19121861    -1.8827715    0.18746445
           1.75    -1.9497296   0.082622763    -1.8647232    0.22025188    -1.8784729    0.18744061    -1.8740665    0.20093402    -1.8765013    0.19550924      -1.87898    0.19169597
           1.76    -1.9480544   0.084904654    -1.8602686     0.2252137    -1.8746843      0.191417    -1.8700029    0.20542792    -1.8725479     0.1998342    -1.8751034    0.19596367
           1.77    -1.9463331   0.087236275    -1.8557145     0.2302031     -1.870816    0.19542153    -1.8658491    0.20995472    -1.8685077     0.2041913    -1.8711412    0.20026555
           1.78    -1.9445646   0.089617776    -1.8510603    0.23521663    -1.8668673    0.19945241    -1.8616045    0.21451188    -1.8643801    0.20857828    -1.8670926    0.20459948
           1.79     -1.942748   0.092049233    -1.8463057    0.24025072    -1.8628377    0.20350775    -1.8572685    0.21909674    -1.8601644    0.21299272     -1.862957     0.2089632
            1.8    -1.9408823   0.094530652    -1.8414502    0.24530164    -1.8587268    0.20758555    -1.8528405    0.22370652    -1.8558602    0.21743212    -1.8587339    0.21335437
           1.81    -1.9389665   0.097061957    -1.8364935    0.25036557    -1.8545342    0.21168376    -1.8483201    0.22833833     -1.851467    0.22189385    -1.8544227    0.21777053
           1.82    -1.9369995   0.099642997    -1.8314355    0.25543854    -1.8502594    0.21580022    -1.8437068    0.23298915    -1.8469843     0.2263752    -1.8500229     0.2222091
           1.83    -1.9349804    0.10227354     -1.826276    0.26051648    -1.8459021    0.21993269    -1.8390004    0.23765587    -1.8424118    0.23087333    -1.8455342    0.22666742
           1.84    -1.9329082    0.10495325    -1.8210148    0.26559523     -1.841462    0.22407886    -1.8342005    0.24233524    -1.8377493    0.23538531    -1.8409561    0.23114269
           1.85     -1.930782    0.10768174    -1.8156522     0.2706705    -1.8369388    0.22823633    -1.8293069    0.24702394    -1.8329964     0.2399081    -1.8362884    0.23563205
           1.86    -1.9286006    0.11045851    -1.8101881    0.27573793    -1.8323324     0.2324026    -1.8243195    0.25171853    -1.8281529    0.24443857    -1.8315308    0.24013252
           1.87    -1.9263633    0.11328297    -1.8046227    0.28079306    -1.8276427    0.23657514    -1.8192382    0.25641549    -1.8232188    0.24897352     -1.826683    0.24464101
           1.88     -1.924069    0.11615443    -1.7989565    0.28583138    -1.8228694    0.24075131    -1.8140629     0.2611112    -1.8181939    0.25350962    -1.8217451    0.24915438
           1.89    -1.9217168    0.11907214    -1.7931896     0.2908483    -1.8180126    0.24492842    -1.8087938    0.26580196    -1.8130784     0.2580435    -1.8167168    0.25366936
            1.9    -1.9193058    0.12203521    -1.7873227    0.29583916    -1.8130723    0.24910369    -1.8034309      0.270484    -1.8078722     0.2625717    -1.8115983    0.25818263
           1.91    -1.9168351    0.12504268    -1.7813563    0.30079928    -1.8080485    0.25327431    -1.7979745    0.27515348    -1.8025756    0.26709067    -1.8063896    0.26269079
           1.92    -1.9143038    0.12809349     -1.775291    0.30572394    -1.8029414    0.25743739    -1.7924249     0.2798065    -1.7971887    0.27159683    -1.8010907    0.26719036
           1.93    -1.9117111    0.13118647    -1.7691276    0.31060838    -1.7977511    0.26158999    -1.7867824    0.28443909    -1.7917118    0.27608653     -1.795702     0.2716778
           1.94    -1.9090561    0.13432037    -1.7628669    0.31544785    -1.7924779    0.26572912    -1.7810475    0.28904725    -1.7861454    0.28055605    -1.7902237    0.27614951
           1.95     -1.906338    0.13749383      -1.75651    0.32023759     -1.787122    0.26985175    -1.7752207    0.29362695    -1.7804898    0.28500165    -1.7846562    0.28060186
           1.96    -1.9035561    0.14070538    -1.7500578    0.32497285    -1.7816839    0.27395482    -1.7693026    0.29817411    -1.7747455    0.28941955    -1.7789998    0.28503115
           1.97    -1.9007095    0.14395348    -1.7435115     0.3296489     -1.776164    0.27803521    -1.7632939    0.30268464    -1.7689132    0.29380595    -1.7732551    0.28943366
