# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
# Sample Temperature: 2.5082909297943115
#   Initial Sweeps: 100
#            Width: 2
#        Generator: Xorshift
#    Sweep Pattern: RandomSweep
# Total Sweep Time: 0.365229741
# Total Histogram Time: 0.002906825
#   Temperature        E (10)        C (10)       E (100)       C (100)      E (1000)      C (1000)     E (10000)     C (10000)    E (100000)    C (100000)   E (1000000)   C (1000000)
              1            -2             0    -1.9959381   0.016214505    -1.9951112   0.019507414    -1.9957729   0.016875205    -1.9960903   0.015609765    -1.9959619   0.016121649
           1.01            -2             0     -1.995604   0.017199472    -1.9947093   0.020691002    -1.9954252   0.017900481    -1.9957686   0.016558443    -1.9956297   0.017101324
           1.02            -2             0    -1.9952499   0.018219164    -1.9942833    0.02191611    -1.9950566   0.018961928    -1.9954277   0.017540631    -1.9952776   0.018115588
           1.03            -2             0     -1.994875   0.019273533    -1.9938324   0.023182654    -1.9946664   0.020059501    -1.9950668   0.018556293    -1.9949049   0.019164401
           1.04            -2             0    -1.9944787   0.020362485    -1.9933557   0.024490491     -1.994254   0.021193104    -1.9946852   0.019605348    -1.9945108   0.020247677
           1.05            -2             0    -1.9940603   0.021485876    -1.9928525   0.025839417    -1.9938185   0.022362593    -1.9942823   0.020687666    -1.9940947   0.021365279
           1.06            -2             0    -1.9936191   0.022643515    -1.9923218    0.02722917    -1.9933592   0.023567772    -1.9938575   0.021803074     -1.993656   0.022517027
           1.07            -2             0    -1.9931543   0.023835166     -1.991763   0.028659432    -1.9928755     0.0248084      -1.99341   0.022951356    -1.9931938   0.023702694
           1.08            -2             0    -1.9926654   0.025060546    -1.9911752   0.030129826    -1.9923667   0.026084187    -1.9929392   0.024132251    -1.9927076   0.024922008
           1.09            -2             0    -1.9921517   0.026319328    -1.9905576   0.031639922    -1.9918319   0.027394798    -1.9924445   0.025345456    -1.9921967   0.026174654
            1.1            -2             0    -1.9916125   0.027611143    -1.9899093   0.033189235    -1.9912706   0.028739853    -1.9919252   0.026590629    -1.9916604   0.027460273
           1.11            -2             0     -1.991047   0.028935579    -1.9892297   0.034777228    -1.9906821   0.030118929    -1.9913807   0.027867386    -1.9910981   0.028778467
           1.12            -2             0    -1.9904548   0.030292183     -1.988518   0.036403313    -1.9900657    0.03153156    -1.9908103   0.029175305    -1.9905091   0.030128797
           1.13            -2             0    -1.9898351   0.031680463    -1.9877734   0.038066855    -1.9894206    0.03297724    -1.9902134   0.030513926    -1.9898927   0.031510784
           1.14            -2             0    -1.9891874   0.033099889    -1.9869951   0.039767167    -1.9887464   0.034455423    -1.9895895   0.031882754    -1.9892484   0.032923913
           1.15            -2             0    -1.9885109   0.034549892    -1.9861824    0.04150352    -1.9880422   0.035965524    -1.9889379   0.033281259    -1.9885756   0.034367632
           1.16            -2             0    -1.9878052   0.036029872    -1.9853347    0.04327514    -1.9873075   0.037506923    -1.9882581   0.034708876    -1.9878735   0.035841355
           1.17            -2             0    -1.9870696   0.037539191    -1.9844512   0.045081209    -1.9865417   0.039078964    -1.9875494   0.036165009    -1.9871417   0.037344461
           1.18            -2             0    -1.9863034    0.03907718    -1.9835312   0.046920869    -1.9857442   0.040680958    -1.9868113   0.037649031    -1.9863796   0.038876299
