# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
# Sample Temperature: 2.438381242752075
#   Initial Sweeps: 100
#            Width: 4
#        Generator: Xorshift
#    Sweep Pattern: CheckerSweep
# Total Sweep Time: 0.794344883
# Total Histogram Time: 0.006714384
#   Temperature        E (10)        C (10)       E (100)       C (100)      E (1000)      C (1000)     E (10000)     C (10000)    E (100000)    C (100000)   E (1000000)   C (1000000)
           1.36    -1.9732778   0.061242954    -1.9633257   0.086195975    -1.9714074   0.068792763     -1.971865   0.066738428    -1.9730809     0.0639215    -1.9733456   0.063481693
           1.37    -1.9720342    0.06312542    -1.9615724   0.089141651    -1.9700067   0.071283505    -1.9705066   0.069104148    -1.9717799   0.066191845    -1.9720533   0.065751963
           1.38    -1.9707527    0.06502302    -1.9597596   0.092143333    -1.9685557   0.073829842    -1.9691005   0.071522065    -1.9704329   0.068512442    -1.9707151    0.06807347
           1.39    -1.9694331   0.066934279    -1.9578863   0.095201077    -1.9670531      0.076432    -1.9676454   0.073992606     -1.969039   0.070883692      -1.96933   0.070446665
            1.4    -1.9680752   0.068857689    -1.9559512    0.09831493     -1.965498   0.079090162    -1.9661404   0.076516185    -1.9675972   0.073305982    -1.9678969   0.072871988
           1.41    -1.9666788   0.070791708    -1.9539533    0.10148493    -1.9638892   0.081804471    -1.9645844   0.079093205    -1.9661064   0.075779684    -1.9664148   0.075349861
           1.42    -1.9652435   0.072734767    -1.9518914    0.10471109    -1.9622255   0.084575026    -1.9629763   0.081724052    -1.9645657   0.078305154    -1.9648826   0.077880692
           1.43    -1.9637693   0.074685269    -1.9497645    0.10799343    -1.9605058   0.087401876    -1.9613151   0.084409097    -1.9629739   0.080882729    -1.9632992    0.08046487
           1.44    -1.9622561   0.076641592    -1.9475713    0.11133194     -1.958729   0.090285022    -1.9595996   0.087148693      -1.96133   0.083512726    -1.9616636   0.083102763
           1.45    -1.9607036   0.078602095    -1.9453108     0.1147266     -1.956894   0.093224408    -1.9578288   0.089943172     -1.959633   0.086195437    -1.9599747   0.085794714
           1.46     -1.959112    0.08056512    -1.9429819    0.11817736    -1.9549997   0.096219924    -1.9560015    0.09279284    -1.9578819   0.088931131    -1.9582315   0.088541043
           1.47     -1.957481   0.082528994    -1.9405834    0.12168416    -1.9530448   0.099271397    -1.9541167   0.095697982    -1.9560754   0.091720045    -1.9564327   0.091342039
           1.48    -1.9558108   0.084492035    -1.9381142     0.1252469    -1.9510284    0.10237859    -1.9521732    0.09865885    -1.9542127    0.09456239    -1.9545774    0.09419796
           1.49    -1.9541014   0.086452552    -1.9355731    0.12886546    -1.9489493    0.10554121      -1.95017    0.10167567    -1.9522926    0.09745834    -1.9526644   0.097109032
            1.5    -1.9523527   0.088408851    -1.9329592    0.13253968    -1.9468064    0.10875888    -1.9481058    0.10474863     -1.950314    0.10040803    -1.9506927    0.10007544
           1.51     -1.950565   0.090359235    -1.9302712    0.13626938    -1.9445986    0.11203115    -1.9459796    0.10787787    -1.9482759    0.10341157    -1.9486611    0.10309734
           1.52    -1.9487384   0.092302014     -1.927508     0.1400543    -1.9423248    0.11535751    -1.9437903    0.11106352    -1.9461772    0.10646901    -1.9465684    0.10617482
           1.53     -1.946873     0.0942355    -1.9246686    0.14389419    -1.9399839    0.11873736    -1.9415367    0.11430564    -1.9440168    0.10958036    -1.9444137    0.10930794
           1.54    -1.9449691   0.096158017    -1.9217519     0.1477887     -1.937575       0.12217    -1.9392177    0.11760426    -1.9417936    0.11274558    -1.9421957    0.11249672
           1.55    -1.9430268   0.098067901    -1.9187567    0.15173746    -1.9350968    0.12565468    -1.9368322    0.12095933    -1.9395066    0.11596458    -1.9399135     0.1157411
           1.56    -1.9410464   0.099963504     -1.915682    0.15574002    -1.9325484    0.12919053     -1.934379    0.12437079    -1.9371547    0.11923723    -1.9375657    0.11904098
           1.57    -1.9390284     0.1018432    -1.9125268    0.15979587    -1.9299288    0.13277662     -1.931857     0.1278385    -1.9347367    0.12256331    -1.9351515    0.12239619
