# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#          Temp        Energy           Mag       S. Heat           Chi
              1     3.9942902    0.99925156    0.50685163  0.0020954578
      1.0588235     3.9898559    0.99868281     1.0871499  0.0081069621
      1.1176471     3.9860484    0.99810742     1.2858856   0.013537912
      1.1764706     3.9756336    0.99633516     2.8089403    0.15899641
      1.2352941     3.9644063    0.99390059     4.4694184    0.49985562
      1.2941176     3.9220121     0.9526957     13.466412     14.335426
      1.3529412     3.8568531    0.90918086     24.369898      33.90305
      1.4117647     3.8583895    0.81714785     13.546691     11.969629
      1.4705882     3.7852312    0.76767852     15.047558     55.880067
      1.5294118     3.6608945    0.56046875     23.617597     98.494774
      1.5882353     3.6257207    0.59386582     33.360335     100.71097
      1.6470588     3.5842367    0.55360391     39.523273      181.7353
      1.7058824     3.5207469    0.67207891     44.282632     100.52801
      1.7647059     3.3216527    0.30707285     41.867826     84.065736
      1.8235294      3.313725       0.40175     52.742429     88.436093
      1.8823529     3.1415328    0.24231934     48.281143     68.550463
      1.9411765     3.1049555    0.31054063     47.773478     86.713686
              2     3.0464129    0.34035508     44.334859     88.022649
      2.0588235     2.9198184    0.33310586     48.535812     84.862584
      2.1176471     2.8141832    0.23446973     52.063007     52.548112
      2.1764706     2.7266105    0.25736367     47.606242     55.682796
      2.2352941     2.6269824    0.24552187     47.082199     60.743484
      2.2941176     2.5195621    0.23471953     43.356452     39.180601
      2.3529412     2.4312449    0.21854375     38.763838      43.42087
      2.4117647     2.3386281    0.19794863     35.588284     27.504605
      2.4705882     2.2825461    0.21517773     40.022912     33.539153
      2.5294118     2.1883563    0.19401875      37.84585     30.285044
      2.5882353     2.0933449    0.17295801     34.104356     24.686878
      2.6470588     2.0234207     0.1751291     29.373075     23.441693
      2.7058824      1.966932    0.18194727     29.474537     25.892144
      2.7647059     1.8699867    0.15154023     25.339248     18.227797
      2.8235294      1.803491    0.15237383     24.315688     18.368694
      2.8823529     1.7489477    0.14903945     22.535783     16.909158
      2.9411765     1.6918875    0.14675566     19.272962     16.368132
              3     1.6256879    0.12443809     16.717803     11.385982
      3.0588235     1.5799613    0.12926699     15.974003      12.05127
      3.1176471     1.5378902    0.12900859     14.656799     12.516052
      3.1764706     1.4805875    0.11253223     14.453236     8.8792994
      3.2352941     1.4358391    0.11979785     12.905773     10.109652
      3.2941176     1.3739828    0.10508965     11.091251     7.6557808
      3.3529412     1.3434516     0.1044043     9.9644686     6.9828821
      3.4117647     1.3183207    0.10323418     9.5555048     6.9663546
      3.4705882     1.2863387    0.10213145     9.3576332      7.520408
      3.5294118     1.2436254    0.10090742      7.911303     6.6420507
      3.5882353     1.1996254   0.097605664     7.4184927     6.0818501
      3.6470588     1.1827676   0.091710352     7.3927639     5.0055334
      3.7058824     1.1455941   0.089059766     6.2478152     4.9361838
      3.7647059     1.1165586   0.086835156      5.636428     4.6043447
      3.8235294     1.0883156   0.081857422     5.3121669     4.2704227
      3.8823529     1.0683824     0.0802375     4.9852852     3.9073081
      3.9411765     1.0433566   0.080252344     4.2716439     3.7919564
