# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#          Temp        Energy           Mag       S. Heat           Chi
              1     3.9933609    0.99916719    0.37014571  0.0021580187
      1.0588235     3.9823188    0.99117031     2.9922444     2.0897855
      1.1176471      3.918125    0.87643984     1.1988595      3.569031
      1.1764706     3.9108625    0.84211563     1.2099114     3.2438109
      1.2352941     3.9005844    0.86046797     1.5343112      10.24141
      1.2941176     3.9269719    0.97628828     7.1586741     2.6108237
      1.3529412     3.7997484    0.75512187     12.569531      24.54453
      1.4117647     3.7837047    0.77046172     11.604675     28.810388
      1.4705882     3.6879594    0.70075312     12.938443     31.750874
      1.5294118     3.6383656    0.61742031     11.866009      23.81843
      1.5882353     3.6734781    0.74634922     16.438517     27.074741
      1.6470588     3.6058703    0.71461641     20.359442     56.861029
      1.7058824     3.4499891    0.54344063     24.201988     53.752758
      1.7647059     3.3008344    0.44324141     17.827698     28.428136
      1.8235294     3.2897219    0.47384609     23.110204     43.275196
      1.8823529     3.2779891    0.54009922     21.651316     32.425974
      1.9411765     3.0776359    0.43641016     26.594166     32.571452
              2     3.0785641    0.50233906     23.278071     22.456982
      2.0588235     2.9250656    0.31599609     23.712548     23.817564
      2.1176471     2.8299313    0.35899063     22.911215     26.001429
      2.1764706     2.7406734        0.4104     27.268477     30.133792
      2.2352941     2.6664313    0.35087109     23.097555      24.43441
      2.2941176     2.5413172    0.30346094     22.292547     20.247916
      2.3529412     2.4515344    0.32950156     21.762093     20.445471
      2.4117647     2.3611156    0.28513359     21.663369     17.161229
      2.4705882     2.2769594     0.2768625     16.741022     12.997804
      2.5294118     2.1857906    0.27642656     18.548968     15.572875
      2.5882353     2.1044234    0.25781719     15.697532     13.136786
      2.6470588     2.0461031    0.24873125     14.344417     11.697153
      2.7058824     1.9614203    0.23620391     14.912753     9.5802364
      2.7647059     1.8959828    0.21800625     13.410109     9.4818151
      2.8235294     1.8264844    0.22716328     12.462711     8.7325358
      2.8823529     1.7727828    0.21123516     11.615266     8.1889067
      2.9411765     1.6940062    0.18166797     10.536272      6.660424
              3     1.6669656    0.19986953     9.5827801     6.4564195
      3.0588235      1.587375    0.16849375     7.9448849     5.2973015
      3.1176471     1.5388422    0.17401719     7.4113231     5.4909594
      3.1764706     1.4840156    0.17463437     7.8184315     4.9648727
      3.2352941     1.4537734    0.16037266     7.1100641      4.068613
      3.2941176      1.415525    0.15864297     6.6362344      4.259889
      3.3529412     1.3464453    0.14471094     5.7025663     3.5141699
      3.4117647     1.3156031    0.14899844     5.6545539     3.5745308
      3.4705882     1.2763516    0.14856328     4.8929694     3.4601492
      3.5294118     1.2578516    0.14548984     4.5351316     3.2531238
      3.5882353     1.2213734    0.14031719     4.3733049     2.8615811
      3.6470588     1.1851234    0.12753594     3.8908867     2.5114136
      3.7058824     1.1573516    0.12372266     3.5552099      2.389787
      3.7647059     1.1148922    0.11777109      3.379005     2.1136038
      3.8235294     1.1039172    0.12464844     3.0870741     2.2864371
      3.8823529        1.0682    0.12110234      2.748295     2.0584366
      3.9411765     1.0481156    0.11824531     2.6701125     2.0847651
