# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#          Temp        Energy           Mag       S. Heat           Chi
              1        3.9908       0.99885     0.1452928     0.0022702
      1.0588235        3.9908       0.99885    0.12989444  0.0021489889
      1.1176471        3.9876        0.9984    0.16394834  0.0031738105
      1.1764706        3.9794       0.99735    0.24292878    0.00490501
      1.2352941        3.9792       0.99735    0.22719882  0.0046633429
      1.2941176         3.972       0.99635     0.2918279     0.0066963
      1.3529412        3.9562        0.9941     0.4071515   0.011816922
      1.4117647        3.9452       0.99265    0.47061723   0.013916342
      1.4705882        3.9216        0.9885    0.66786836    0.03085432
      1.5294118        3.9112       0.98765    0.68820169   0.023422992
      1.5882353         3.886        0.9848    0.74876324   0.023264059
      1.6470588        3.8146       0.97095     1.3803525   0.084319393
      1.7058824        3.8152        0.9736     1.1659078    0.05132851
      1.7647059         3.749       0.96195     1.5467064   0.086348327
      1.8235294        3.6744       0.94875     1.9060484     0.1272597
      1.8823529         3.667        0.9465     1.8488965    0.13683066
      1.9411765        3.5924       0.93475     2.0612034    0.14860916
              2        3.4752        0.9113     2.6097328     0.2256658
      2.0588235         3.439       0.90675     2.5915712    0.21934653
      2.1176471        3.3856        0.9003     2.4722344    0.19599734
      2.1764706        3.2016       0.85685     3.1849355    0.33424748
      2.2352941        3.1888       0.85885     2.8988189    0.29546528
      2.2941176        3.0968        0.8358     3.2396553    0.37340735
      2.3529412        2.9902        0.8167     3.2459364    0.38289695
      2.4117647        2.9344       0.80165     3.2630223    0.41833061
      2.4705882        2.9414        0.8035     2.9390957    0.38920723
      2.5294118        2.7562       0.76355     3.0165511      0.432024
      2.5882353        2.6754        0.7481      3.117122    0.44947845
      2.6470588        2.5086        0.7106     3.0048168    0.47026941
      2.7058824        2.4578        0.6988     2.8986068    0.46991784
      2.7647059        2.2772       0.66015     2.7313409    0.47294658
      2.8235294        2.1656        0.6266     2.7819686    0.51679717
      2.8823529        2.1692       0.63165     2.6036883    0.49176816
      2.9411765        2.0598       0.60615       2.46411    0.48359404
              3        1.9748       0.58295     2.3159452    0.47913153
      3.0588235        1.9616        0.5824     2.2229011    0.46132142
      3.1176471        1.8872        0.5599     2.0859702    0.46063162
      3.1764706        1.8936       0.57275     2.0831069    0.43807067
      3.2352941        1.7664       0.53745     1.8459381    0.43164589
      3.2941176        1.7402         0.531     1.7802049    0.42197254
      3.3529412        1.6964        0.5188     1.6502593     0.4090985
      3.4117647        1.7084        0.5278     1.5808312    0.38979898
      3.4705882        1.6056       0.49955     1.5157873    0.38443506
      3.5294118        1.5434          0.48     1.4623177    0.38397481
      3.5882353        1.4736        0.4678     1.2385406    0.35223465
      3.6470588        1.4718         0.458     1.2387718    0.36239492
      3.7058824        1.4652       0.46365     1.1810854    0.34201447
      3.7647059        1.3934       0.44145     1.0688383    0.32823318
      3.8235294        1.3854         0.442     1.0595518    0.32829134
      3.8823529        1.3512       0.43765    0.94271853    0.29920644
      3.9411765        1.3286        0.4265    0.95555078    0.31246721
