# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#          Temp        Energy           Mag       S. Heat           Chi
              1        3.9963       0.99945     0.0609844     0.0010781
      1.0588235       3.99005     0.9987125     0.2073261  0.0027070139
      1.1176471      3.985925      0.998275    0.32509362  0.0040063632
      1.1764706       3.97545     0.9969125    0.60032901  0.0092522925
      1.2352941      3.974175       0.99655     0.4262328  0.0078956095
      1.2941176      3.943775      0.985625     1.5879529     0.2984853
      1.3529412        3.9429      0.992075    0.98767722   0.024787774
      1.4117647      3.883125     0.9674625     2.5607631    0.67635998
      1.4705882       3.86585      0.969025      2.751929    0.50587043
      1.5294118       3.85645      0.969825     2.5110213    0.40173341
      1.5882353        3.8498      0.969475      2.465304    0.40673256
      1.6470588       3.72995      0.938625     4.5675881    0.79672953
      1.7058824       3.70075      0.939125     5.1402586    0.69210816
      1.7647059      3.648925     0.9235125     5.0478142    0.96493657
      1.8235294       3.57215     0.8919375      6.486491     1.5454526
      1.8823529      3.501475     0.8875125     6.4097518     1.2885774
      1.9411765      3.425325        0.8697     7.0550754     1.3610991
              2        3.2853     0.8174875     7.7513407     1.9723812
      2.0588235      3.262825        0.8228     7.2555975      1.697019
      2.1176471      3.070425     0.7658875     9.0578578     2.2370744
      2.1764706        2.9261       0.72755     8.6942253       2.35239
      2.2352941        2.8073     0.6868625      8.925836     2.5290625
      2.2941176      2.742675        0.6821     8.1652838     2.3104815
      2.3529412       2.61665        0.6273      8.343446     2.5857626
      2.4117647      2.660375      0.666275       7.53254     2.1317175
      2.4705882      2.443625     0.6032875     7.4597234     2.1957028
      2.5294118        2.2766       0.54015     6.7615436     2.2066193
      2.5882353        2.1895     0.5211875     6.5276274      2.131549
      2.6470588      2.205175     0.5442125     6.6381985     2.0532044
      2.7058824       2.15895      0.529125     6.2535081     1.9749632
      2.7647059        2.0374     0.4984875     5.4238217     1.8111438
      2.8235294      1.946775      0.479125     5.0297007     1.7008211
      2.8823529        1.8754       0.45685     4.3235964      1.550089
      2.9411765      1.810475     0.4401125      4.299595        1.5615
              3      1.751075        0.4124     3.8071826     1.4289532
      3.0588235       1.67415       0.40495     3.5838731      1.336996
      3.1176471      1.679925        0.4072     3.7995423     1.3676606
      3.1764706       1.65645       0.41095      3.241525     1.2238028
      3.2352941      1.550625        0.3767     2.7403589     1.0625868
      3.2941176        1.5173      0.372775     2.7225833      1.101018
      3.3529412       1.49945     0.3681875     2.6886566     1.0717412
      3.4117647        1.3713     0.3276875     2.3338523    0.93264598
      3.4705882       1.39495     0.3388125      2.383719    0.99474248
      3.5294118      1.336075      0.329175     1.9700497    0.83036554
      3.5882353      1.295975     0.3186875     2.0150761     0.8370512
      3.6470588      1.298925       0.32315     1.8906522    0.80877903
      3.7058824        1.2187        0.3016     1.6128084    0.69804008
      3.7647059       1.18535       0.29355     1.5274169    0.66189176
      3.8235294      1.207425        0.3016     1.5649201    0.67442515
      3.8823529      1.189225     0.3016875     1.5428081    0.66982654
      3.9411765      1.141325      0.283225     1.3483418    0.58706468
