# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
# Sample Temperature: 2.4394666194915775
#   Initial Sweeps: 100
#            Width: 4
#        Generator: Xorshift
#    Sweep Pattern: IterSweep
# Total Sweep Time: 0.9802597710000001
# Total Histogram Time: 0.008734962
#   Temperature        E (10)        C (10)       E (100)       C (100)      E (1000)      C (1000)     E (10000)     C (10000)    E (100000)    C (100000)   E (1000000)   C (1000000)
              1    -1.4636132   0.068140386    -1.9949682   0.020198626    -1.9972789   0.011196311    -1.9971709   0.011657578    -1.9971573   0.011714663    -1.9971648   0.011679197
           1.01      -1.46224    0.06917051    -1.9945519   0.021438862    -1.9970477   0.011923261    -1.9969302   0.012416005    -1.9969155    0.01247704    -1.9969236   0.012438624
           1.02    -1.4608466   0.070173499    -1.9941104   0.022724063    -1.9968017   0.012681388     -1.996674   0.013207009     -1.996658   0.013272203     -1.996667   0.013230643
           1.03    -1.4594333    0.07114939    -1.9936426   0.024054275    -1.9965403   0.013471266    -1.9964017   0.014031179    -1.9963844   0.014100751    -1.9963942   0.014055842
           1.04    -1.4580008    0.07209828    -1.9931479   0.025429488    -1.9962627   0.014293462    -1.9961126   0.014889094    -1.9960938   0.014963276    -1.9961045   0.014914802
           1.05    -1.4565495    0.07302033    -1.9926252   0.026849632    -1.9959683   0.015148536    -1.9958059   0.015781325    -1.9957856   0.015860359    -1.9957974   0.015808095
           1.06    -1.4550801   0.073915757    -1.9920736   0.028314584    -1.9956565   0.016037045    -1.9954811   0.016708436    -1.9954591   0.016792576     -1.995472   0.016736287
           1.07    -1.4535931   0.074784831    -1.9914923   0.029824166    -1.9953266   0.016959538    -1.9951373   0.017670979    -1.9951137   0.017760494    -1.9951277   0.017699933
           1.08    -1.4520889   0.075627872    -1.9908803   0.031378147    -1.9949779   0.017916562     -1.994774   0.018669503    -1.9947485   0.018764673    -1.9947638   0.018699584
           1.09    -1.4505681   0.076445244    -1.9902369   0.032976246    -1.9946097   0.018908657    -1.9943903   0.019704546    -1.9943628    0.01980567    -1.9943795   0.019735784
            1.1    -1.4490313   0.077237352     -1.989561   0.034618135    -1.9942213   0.019936362    -1.9939856   0.020776642     -1.993956   0.020884033    -1.9939741   0.020809071
           1.11    -1.4474788   0.078004642    -1.9888519   0.036303436     -1.993812   0.021000213     -1.993559   0.021886319    -1.9935272   0.022000308    -1.9935468   0.021919977
           1.12    -1.4459112   0.078747589    -1.9881086    0.03803173     -1.993381   0.022100742    -1.9931099   0.023034099    -1.9930757   0.023155035     -1.993097   0.023069032
           1.13    -1.4443291   0.079466705    -1.9873303   0.039802553    -1.9929277   0.023238482    -1.9926374   0.024220498    -1.9926007    0.02434875    -1.9926238   0.024256759
           1.14    -1.4427327   0.080162524    -1.9865162   0.041615405    -1.9924513   0.024413962    -1.9921408   0.025446029    -1.9921015   0.025581987    -1.9921265    0.02548368
           1.15    -1.4411227   0.080835607    -1.9856654   0.043469745    -1.9919509   0.025627712    -1.9916193   0.026711201    -1.9915772   0.026855278    -1.9916042   0.026750314
           1.16    -1.4394995   0.081486535    -1.9847771   0.045364998    -1.9914259   0.026880263    -1.9910721   0.028016518     -1.991027    0.02816915    -1.9910562   0.028057175
           1.17    -1.4378634   0.082115906    -1.9838505    0.04730056    -1.9908754   0.028172144    -1.9904983   0.029362483    -1.9904502   0.029524132    -1.9904817   0.029404779
           1.18     -1.436215   0.082724334    -1.9828848   0.049275794    -1.9902987   0.029503884    -1.9898973   0.030749596    -1.9898458    0.03092075    -1.9898797   0.030793638
           1.19    -1.4345546   0.083312444    -1.9818792   0.051290039     -1.989695   0.030876016    -1.9892681   0.032178353    -1.9892131   0.032359528    -1.9892496   0.032224263
            1.2    -1.4328826    0.08388087     -1.980833   0.053342607    -1.9890634   0.032289072    -1.9886099   0.033649249    -1.9885511   0.033840991    -1.9885905   0.033697166
           1.21    -1.4311994   0.084430254    -1.9797453   0.055432792    -1.9884032   0.033743586    -1.9879218   0.035162778    -1.9878591   0.035365663    -1.9879015   0.035212857
           1.22    -1.4295055   0.084961241    -1.9786154   0.057559868    -1.9877134   0.035240093    -1.9872031   0.036719431    -1.9871362    0.03693407    -1.9871817   0.036771846
           1.23    -1.4278011   0.085474479    -1.9774427   0.059723093    -1.9869933    0.03677913    -1.9864528   0.038319699    -1.9863815   0.038546734    -1.9864303   0.038374644
           1.24    -1.4260866   0.085970616    -1.9762263   0.061921713    -1.9862419   0.038361236      -1.98567    0.03996407     -1.985594   0.040204181    -1.9856464   0.040021761
           1.25    -1.4243624   0.086450296    -1.9749656   0.064154962    -1.9854585   0.039986949    -1.9848539   0.041653032     -1.984773   0.041906936    -1.9848291   0.041713709
           1.26    -1.4226287   0.086914162    -1.9736598   0.066422069    -1.9846422   0.041656812    -1.9840036   0.043387071    -1.9839174   0.043655523    -1.9839776   0.043450996
           1.27    -1.4208859   0.087362847    -1.9723085   0.068722255     -1.983792   0.043371366    -1.9831181   0.045166672    -1.9830265   0.045450466    -1.9830908   0.045234134
           1.28    -1.4191343   0.087796981    -1.9709107   0.071054739     -1.982907   0.045131154    -1.9821966   0.046992316    -1.9820991   0.047292289    -1.9821679   0.047063633
           1.29    -1.4173742   0.088217183    -1.9694661    0.07341874    -1.9819864   0.046936718    -1.9812381   0.048864485    -1.9811345   0.049181516    -1.9812079       0.04894
            1.3    -1.4156057   0.088624062    -1.9679738    0.07581348    -1.9810292     0.0487886    -1.9802417   0.050783655    -1.9801315   0.051118667      -1.98021   0.050863745
           1.31    -1.4138293   0.089018214    -1.9664333   0.078238183    -1.9800346   0.050687341    -1.9792064   0.052750301    -1.9790894   0.053104263    -1.9791731   0.052835373
           1.32    -1.4120451   0.089400226    -1.9648441   0.080692081    -1.9790014    0.05263348    -1.9781314   0.054764893     -1.978007    0.05513882    -1.9780962   0.054855386
           1.33    -1.4102533   0.089770667    -1.9632054   0.083174413    -1.9779289   0.054627553    -1.9770155   0.056827898    -1.9768835   0.057222851    -1.9769785   0.056924284
           1.34    -1.4084543   0.090130096    -1.9615169   0.085684428     -1.976816   0.056670091    -1.9758579   0.058939775    -1.9757178   0.059356865    -1.9758189   0.059042564
           1.35    -1.4066482   0.090479052    -1.9597779   0.088221387    -1.9756618    0.05876162    -1.9746576   0.061100978    -1.9745089   0.061541363    -1.9746165   0.061210713
           1.36    -1.4048352   0.090818061    -1.9579879   0.090784564    -1.9744652   0.060902661    -1.9734136   0.063311953    -1.9732558   0.063776842    -1.9733702   0.063429217
           1.37    -1.4030155   0.091147632    -1.9561463   0.093373246    -1.9732253   0.063093726    -1.9721248   0.065573137    -1.9719575   0.066063788     -1.972079   0.065698549
           1.38    -1.4011894   0.091468255    -1.9542528   0.095986738    -1.9719411   0.065335318    -1.9707903   0.067884958    -1.9706129   0.068402679    -1.9707419   0.068019175
           1.39    -1.3993569   0.091780405    -1.9523067   0.098624358    -1.9706116   0.067627928    -1.9694091   0.070247831     -1.969221   0.070793979    -1.9693579   0.070391551
            1.4    -1.3975182   0.092084536    -1.9503076    0.10128544    -1.9692357   0.069972035      -1.96798   0.072662159    -1.9677808   0.073238142    -1.9679259   0.072816117
           1.41    -1.3956735   0.092381086    -1.9482551    0.10396935    -1.9678123   0.072368102    -1.9665022   0.075128328    -1.9662911   0.075735602    -1.9664449   0.075293301
           1.42     -1.393823   0.092670473    -1.9461487    0.10667545    -1.9663406   0.074816578    -1.9649746   0.077646708     -1.964751    0.07828678    -1.9649138   0.077823512
           1.43    -1.3919668   0.092953097     -1.943988    0.10940314    -1.9648193    0.07731789     -1.963396   0.080217652    -1.9631593   0.080892075    -1.9633316   0.080407143
           1.44    -1.3901049   0.093229339    -1.9417725    0.11215183    -1.9632475   0.079872444    -1.9617655    0.08284149     -1.961515   0.083551865    -1.9616971   0.083044564
           1.45    -1.3882376   0.093499563    -1.9395018    0.11492094    -1.9616241   0.082480624     -1.960082    0.08551853    -1.9598169   0.086266501    -1.9600094   0.085736121
           1.46     -1.386365   0.093764111    -1.9371755    0.11770993    -1.9599479   0.085142787    -1.9583444   0.088249053    -1.9580639    0.08903631    -1.9582673   0.088482135
           1.47    -1.3844871   0.094023309    -1.9347932    0.12051825     -1.958218    0.08785926    -1.9565517   0.091033314     -1.956255   0.091861588    -1.9564698   0.091282897
           1.48    -1.3826041   0.094277463    -1.9323546     0.1233454    -1.9564332   0.090630341    -1.9547027   0.093871537    -1.9543891   0.094742597    -1.9546156   0.094138669
           1.49     -1.380716   0.094526862    -1.9298593    0.12619086    -1.9545924    0.09345629    -1.9527964   0.096763912     -1.952465   0.097679566    -1.9527039   0.097049674
            1.5     -1.378823   0.094771775    -1.9273069    0.12905416    -1.9526946   0.096337332    -1.9508318   0.099710595    -1.9504815    0.10067268    -1.9507333     0.1000161
           1.51    -1.3769252   0.095012456     -1.924697    0.13193483    -1.9507386   0.099273652    -1.9488077     0.1027117    -1.9484377    0.10372209    -1.9487028     0.1030381
           1.52    -1.3750226    0.09524914    -1.9220294    0.13483239    -1.9487233    0.10226539     -1.946723     0.1057673    -1.9463323    0.10682789    -1.9466114    0.10611577
           1.53    -1.3731153   0.095482044    -1.9193036    0.13774642    -1.9466476    0.10531264    -1.9445766    0.10887743    -1.9441642    0.10999015    -1.9444578    0.10924918
           1.54    -1.3712033   0.095711369    -1.9165194    0.14067646    -1.9445104    0.10841544    -1.9423675    0.11204207    -1.9419323    0.11320884    -1.9422411    0.11243832
           1.55    -1.3692868     0.0959373    -1.9136764    0.14362209    -1.9423106     0.1115738    -1.9400946    0.11526114    -1.9396355    0.11648393    -1.9399599    0.11568314
           1.56    -1.3673658   0.096160005    -1.9107744    0.14658289    -1.9400471    0.11478763    -1.9377567    0.11853454    -1.9372726     0.1198153    -1.9376134    0.11898356
           1.57    -1.3654404   0.096379639     -1.907813    0.14955844    -1.9377187    0.11805682    -1.9353528    0.12186206    -1.9348425    0.12320277    -1.9352002    0.12233938
           1.58    -1.3635107   0.096596338     -1.904792    0.15254832    -1.9353244    0.12138117    -1.9328819    0.12524348    -1.9323441    0.12664609    -1.9327194     0.1257504
           1.59    -1.3615766   0.096810227     -1.901711    0.15555213    -1.9328631    0.12476043    -1.9303427    0.12867849    -1.9297763    0.13014496    -1.9301698     0.1292163
            1.6    -1.3596383   0.097021414    -1.8985698    0.15856943    -1.9303336    0.12819428    -1.9277344    0.13216671    -1.9271379    0.13369898    -1.9275504    0.13273673
           1.61    -1.3576958   0.097229995    -1.8953681    0.16159983     -1.927735    0.13168231    -1.9250557     0.1357077    -1.9244279    0.13730769      -1.92486    0.13631122
           1.62    -1.3557491   0.097436052    -1.8921057    0.16464287     -1.925066    0.13522406    -1.9223057    0.13930094    -1.9216452    0.14097055    -1.9220976    0.13993927
           1.63    -1.3537983   0.097639655    -1.8887823    0.16769814    -1.9223257    0.13881895    -1.9194833    0.14294585    -1.9187888    0.14468693    -1.9192621    0.14362026
           1.64    -1.3518435   0.097840863    -1.8853977    0.17076519    -1.9195129    0.14246637    -1.9165875    0.14664174    -1.9158574     0.1484561    -1.9163524     0.1473535
           1.65    -1.3498847    0.09803972    -1.8819517    0.17384356    -1.9166267    0.14616557    -1.9136173    0.15038785    -1.9128502    0.15227727    -1.9133676    0.15113823
           1.66     -1.347922   0.098236261    -1.8784439    0.17693277    -1.9136659    0.14991576    -1.9105717    0.15418336     -1.909766    0.15614954    -1.9103066    0.15497355
           1.67    -1.3459553   0.098430512    -1.8748743    0.18003234    -1.9106297    0.15371601    -1.9074497    0.15802732    -1.9066039     0.1600719    -1.9071683    0.15885852
           1.68    -1.3439848   0.098622485    -1.8712426    0.18314176     -1.907517    0.15756535    -1.9042503    0.16191872    -1.9033628    0.16404325    -1.9039519    0.16279207
           1.69    -1.3420104   0.098812187    -1.8675485    0.18626049    -1.9043268    0.16146265    -1.9009726    0.16585643    -1.9000418     0.1680624    -1.9006563    0.16677304
            1.7    -1.3400323   0.098999611    -1.8637921    0.18938797    -1.9010581    0.16540675    -1.8976157    0.16983924      -1.89664    0.17212805    -1.8972807    0.17080016
           1.71    -1.3380504   0.099184747     -1.859973    0.19252364    -1.8977102    0.16939632    -1.8941787    0.17386586    -1.8931564    0.17623878     -1.893824    0.17487207
           1.72    -1.3360649   0.099367571    -1.8560911    0.19566686     -1.894282    0.17342999    -1.8906608    0.17793485    -1.8895901    0.18039308    -1.8902855    0.17898728
           1.73    -1.3340758   0.099548056    -1.8521463    0.19881702    -1.8907727    0.17750623    -1.8870611    0.18204472    -1.8859404     0.1845893    -1.8866643    0.18314423
