# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
# Sample Temperature: 2.7579504299163817
#   Initial Sweeps: 100
#            Width: 2
#        Generator: Xorshift
#    Sweep Pattern: IterSweep
# Total Sweep Time: 0.21221440400000002
# Total Histogram Time: 0.002112146
#   Temperature        E (10)        C (10)       E (100)       C (100)      E (1000)      C (1000)     E (10000)     C (10000)    E (100000)    C (100000)   E (1000000)   C (1000000)
           1.39            -2             0    -1.9781762    0.04468843    -1.9758678   0.049357662    -1.9755902   0.049997051     -1.975487   0.050189874    -1.9748329   0.051534855
            1.4            -2             0    -1.9772708   0.045859022    -1.9748678   0.050645658    -1.9745772   0.051307859      -1.97447   0.051504145    -1.9737887   0.052884846
           1.41            -2             0    -1.9763418   0.047036506     -1.973842   0.051940885    -1.9735378   0.052626472    -1.9734267   0.052826126    -1.9727174   0.054242793
           1.42            -2             0    -1.9753893    0.04822037    -1.9727901   0.053242764    -1.9724721   0.053952321    -1.9723569   0.054155241    -1.9716189   0.055608107
           1.43            -2             0     -1.974413   0.049410103    -1.9717122   0.054550719    -1.9713797   0.055284839    -1.9712605   0.055490918    -1.9704931   0.056980201
           1.44            -2             0    -1.9734128   0.050605196    -1.9706081   0.055864175    -1.9702606   0.056623458    -1.9701373   0.056832582    -1.9693397   0.058358488
           1.45            -2             0    -1.9723887    0.05180514    -1.9694776   0.057182559    -1.9691147   0.057967614    -1.9689871   0.058179664    -1.9681587   0.059742383
           1.46            -2             0    -1.9713406   0.053009432    -1.9683207   0.058505301    -1.9679419   0.059316747      -1.96781   0.059531596      -1.96695   0.061131305
           1.47            -2             0    -1.9702683   0.054217566    -1.9671374   0.059831833     -1.966742   0.060670296    -1.9666059   0.060887811    -1.9657134   0.062524674
           1.48            -2             0    -1.9691719   0.055429045    -1.9659274   0.061161592    -1.9655151   0.062027707    -1.9653745    0.06224775    -1.9644489   0.063921917
           1.49            -2             0    -1.9680511   0.056643371    -1.9646909   0.062494019    -1.9642609   0.063388427    -1.9641159   0.063610854    -1.9631565   0.065322461
            1.5            -2             0    -1.9669061   0.057860053    -1.9634277   0.063828559    -1.9629795   0.064751911    -1.9628301   0.064976571     -1.961836   0.066725741
           1.51            -2             0    -1.9657367   0.059078603    -1.9621377   0.065164663    -1.9616708   0.066117617    -1.9615168   0.066344352    -1.9604875   0.068131195
           1.52            -2             0     -1.964543   0.060298537    -1.9608211   0.066501786    -1.9603348   0.067485007    -1.9601763   0.067713657    -1.9591108   0.069538268
           1.53            -2             0    -1.9633248   0.061519378    -1.9594777    0.06783939    -1.9589714    0.06885355    -1.9588083   0.069083946    -1.9577059    0.07094641
